Modality,Word,Instrument,POS
Auditory,vibrant,no,Adj
Auditory,vocal,no,Adj
Auditory,voiceless,no,Adj
Haptic,cold,no,Noun
Haptic,coldness,no,Noun
Haptic,heat,no,Noun
Haptic,hotness,no,Noun
Haptic,itch,no,Noun
Haptic,tickle,no,Noun
Haptic,touch,no,Noun
Haptic,warmth,no,Noun
Haptic,fondle,no,Verb
Haptic,itch,no,Verb
Haptic,stroke,no,Verb
Haptic,tickle,no,Verb
Haptic,touch,no,Verb
Haptic,burning,no,Adj
Haptic,clammy,no,Adj
Haptic,cold,no,Adj
Haptic,coriaceous,no,Adj
Haptic,crisp,no,Adj
Haptic,dense,no,Adj
Haptic,dry,no,Adj
Haptic,fluid,no,Adj
Haptic,friable,no,Adj
Haptic,gelatinous,no,Adj
Haptic,granular,no,Adj
Haptic,hot,no,Adj
Haptic,impalpable,no,Adj
Haptic,incandescent,no,Adj
Haptic,itchy,no,Adj
Haptic,muddy,no,Adj
Haptic,oily,no,Adj
Haptic,piercing,no,Adj
Haptic,pungent,no,Adj
Haptic,rigid,no,Adj
Haptic,rough,no,Adj
Haptic,sharp,no,Adj
Haptic,silky,no,Adj
Haptic,slippery,no,Adj
Haptic,smooth,no,Adj
Haptic,soft,no,Adj
Haptic,spongy,no,Adj
Haptic,sticky,no,Adj
Haptic,tactile,no,Adj
Haptic,tender,no,Adj
Haptic,unctuous,no,Adj
Haptic,velvety,no,Adj
Haptic,viscous,no,Adj
Haptic,warm,no,Adj
Haptic,wet,no,Adj
Haptic,wrinkled,no,Adj
Gustatory,acidity,no,Noun
Gustatory,acidulousness,no,Noun
Gustatory,bitterness,no,Noun
Gustatory,flavor,no,Noun
Gustatory,harshness,no,Noun
Gustatory,salinity,no,Noun
Gustatory,saltiness,no,Noun
Gustatory,sapidity,no,Noun
Gustatory,savor,no,Noun
Gustatory,sourness,no,Noun
Gustatory,sugariness,no,Noun
Gustatory,sweetness,no,Noun
Gustatory,tartness,no,Noun
Gustatory,taste,no,Noun
Gustatory,acidulate,no,Verb
Gustatory,savor,no,Verb
Gustatory,sweeten,no,Verb
Gustatory,taste,no,Verb
Gustatory,acid,no,Adj
Gustatory,acidulous,no,Adj
Gustatory,acrid,no,Adj
Gustatory,appetizing,no,Adj
Gustatory,aromatic,no,Adj
Gustatory,balsamic,no,Adj
Gustatory,bitter,no,Adj
Gustatory,bitterish,no,Adj
Gustatory,bittersweet,no,Adj
Gustatory,delicious,no,Adj
Gustatory,disgusting,no,Adj
Gustatory,fruity,no,Adj
Gustatory,insipid,no,Adj
Gustatory,peppery,no,Adj
Gustatory,refreshing,no,Adj
Gustatory,sapid,no,Adj
Gustatory,smoky,no,Adj
Gustatory,sour,no,Adj
Gustatory,spicy,no,Adj
Gustatory,succulent,no,Adj
Gustatory,sweet,no,Adj
Gustatory,sweetish,no,Adj
Gustatory,syrupy,no,Adj
Gustatory,tart,no,Adj
Gustatory,tasteless,no,Adj
Gustatory,tasty,no,Adj
Gustatory,unsavory,no,Adj
Olfactory,fetor,no,Noun
Olfactory,fragrance,no,Noun
Olfactory,malodor,no,Noun
Olfactory,niff,no,Noun
Olfactory,noseful,no,Noun
Olfactory,odor,no,Noun
Olfactory,perfume,no,Noun
Olfactory,reek,no,Noun
Olfactory,scent,no,Noun
Olfactory,smell,no,Noun
Olfactory,sniff,no,Noun
Olfactory,stench,no,Noun
Olfactory,stink,no,Noun
Olfactory,stinker,no,Noun
Olfactory,whiff,no,Noun
Olfactory,perfume,no,Verb
Olfactory,reek,no,Verb
Olfactory,scent,no,Verb
Olfactory,smell,no,Verb
Olfactory,sniff,no,Verb
Olfactory,stink,no,Verb
Olfactory,fetid,no,Adj
Olfactory,malodorous,no,Adj
Olfactory,odoriferous,no,Adj
Olfactory,olfactory,no,Adj
Olfactory,perfumed,no,Adj
Olfactory,reeking,no,Adj
Olfactory,scented,no,Adj
Olfactory,smelly,no,Adj
Olfactory,stinking,no,Adj
