Word,Sense_count
ammino,1
ammoniac,1
ammoniacal,1
ammoniated,1
ammonitic,1
amnesiac,1
amnesic,2
amnestic,1
amnic,1
amnionic,1
amniotic,1
amoeban,1
amoebic,1
amoeboid,1
amoebous,1
amok,1
amoristic,1
amorous,2
amorphous,5
amort,1
amphibian,1
amphibiotic,1
amphibious,2
amphiprostylar,1
amphiprostyle,1
amphiprotic,1
amphistylar,2
amphitheatric,1
amphitheatrical,1
amphitropous,1
amphoric,1
amphoteric,1
ample,3
ampullar,1
ampullary,1
amuck,1
amused,1
amusing,2
amusive,1
amygdaliform,1
amygdaline,1
amygdaloid,1
amygdaloidal,1
amylaceous,1
amyloid,1
amyloidal,1
amylolytic,1
anabatic,1
anabiotic,1
anabolic,2
anachronic,1
anachronistic,1
anachronous,1
anaclinal,1
anaclitic,1
anacoluthic,1
anadromous,1
anaemic,2
anaerobic,2
anaerobiotic,1
anaesthetic,2
anaglyphic,1
anaglyphical,1
anaglyptic,1
anaglyptical,1
anagogic,1
anagogical,1
anagrammatic,1
anagrammatical,1
anal,2
anal_retentive,1
analeptic,1
analgesic,1
analgetic,1
analog,1
analogical,1
analogous,2
analogue,1
analphabetic,3
analytic,4
analytical,2
analyzable,1
analyzed,1
anamnestic,1
anamorphic,2
anapaestic,1
anapestic,1
anaphasic,1
anaphoric,1
anaphrodisiac,1
anaphylactic,1
anaplastic,1
anarchic,1
anarchical,1
anarchistic,1
anasarcous,1
anastigmatic,2
anastomotic,1
anatomic,2
anatomical,2
anatropous,1
ancestral,2
anchoritic,1
ancient,2
ancillary,1
andalusian,1
andante,1
andantino,1
andean,1
andorran,1
androgenetic,1
androgenic,1
androgenous,1
